epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17601.1,1.07567,0.99842,0.98584,0.81408,0.84999,0.88739,0.64873,0.97754,0.67524,0.96918,0.000197835,0.000197835,0.000197835
43,17964.3,1.06156,0.98786,0.98152,0.79378,0.87221,0.8961,0.64997,0.98233,0.66543,0.97636,0.000194539,0.000194539,0.000194539
44,18338.9,1.06642,0.98734,0.97855,0.80973,0.86906,0.89645,0.65293,0.97367,0.66234,0.97012,0.000191242,0.000191242,0.000191242
45,18648,1.06905,0.96741,0.98215,0.81559,0.86397,0.89818,0.65226,0.97961,0.65647,0.97771,0.000187945,0.000187945,0.000187945
46,18940.2,1.06026,0.96601,0.97355,0.82956,0.8506,0.89888,0.65641,0.96615,0.65033,0.9671,0.000184649,0.000184649,0.000184649
47,19233.7,1.06532,0.96803,0.97539,0.82124,0.84276,0.89153,0.64232,0.98715,0.66734,0.97497,0.000181352,0.000181352,0.000181352
48,19522.5,1.06133,0.95765,0.98069,0.81966,0.85072,0.8884,0.64089,0.98333,0.65236,0.97627,0.000178055,0.000178055,0.000178055
49,19810.8,1.04656,0.93304,0.97453,0.82127,0.85577,0.89451,0.65306,0.97261,0.64398,0.97422,0.000174758,0.000174758,0.000174758
50,20102.4,1.05691,0.94767,0.97438,0.80707,0.86599,0.89132,0.64556,0.97563,0.65821,0.97364,0.000171462,0.000171462,0.000171462
51,20392,1.03808,0.9339,0.96958,0.82767,0.85918,0.89688,0.65649,0.96064,0.64384,0.96692,0.000168165,0.000168165,0.000168165
52,20683.2,1.03746,0.92769,0.96863,0.8591,0.83687,0.90109,0.65706,0.97015,0.63576,0.97066,0.000164868,0.000164868,0.000164868
53,20982.8,1.05234,0.94663,0.97834,0.82824,0.86665,0.90706,0.66393,0.97193,0.64077,0.97777,0.000161572,0.000161572,0.000161572
54,21306.8,1.0309,0.92771,0.96884,0.81672,0.87356,0.89814,0.6563,0.96322,0.63453,0.96348,0.000158275,0.000158275,0.000158275
55,21599,1.03508,0.9234,0.96796,0.85166,0.83706,0.89584,0.65932,0.95674,0.63403,0.9657,0.000154978,0.000154978,0.000154978
56,21896,1.02477,0.92476,0.96378,0.82877,0.87399,0.90076,0.66163,0.95766,0.63447,0.96622,0.000151682,0.000151682,0.000151682
57,22184.9,1.03658,0.91479,0.9677,0.84757,0.85764,0.90712,0.66667,0.94514,0.62467,0.96442,0.000148385,0.000148385,0.000148385
58,22476.5,1.01859,0.90543,0.96542,0.8156,0.87834,0.90506,0.66619,0.94782,0.62084,0.96112,0.000145088,0.000145088,0.000145088
59,22765.3,1.01597,0.89775,0.96582,0.82899,0.87258,0.90864,0.66874,0.94848,0.62353,0.96414,0.000141791,0.000141791,0.000141791
60,23057.7,1.02599,0.9005,0.96214,0.82229,0.88379,0.90575,0.67002,0.93679,0.61192,0.95709,0.000138495,0.000138495,0.000138495
61,23353.6,1.01681,0.87757,0.96383,0.8619,0.84007,0.9051,0.66847,0.94229,0.62348,0.95851,0.000135198,0.000135198,0.000135198
62,23670,1.01597,0.89727,0.964,0.82777,0.87117,0.90373,0.66636,0.94786,0.61446,0.96261,0.000131901,0.000131901,0.000131901
63,24005.7,1.00369,0.86916,0.96442,0.8141,0.89164,0.90669,0.66541,0.94342,0.61404,0.95617,0.000128605,0.000128605,0.000128605
64,24342.7,1.00887,0.89266,0.95806,0.82019,0.87872,0.90768,0.67137,0.93872,0.61055,0.96053,0.000125308,0.000125308,0.000125308
65,24685.1,1.00647,0.88152,0.95799,0.84866,0.86234,0.90535,0.66958,0.9429,0.60735,0.96072,0.000122011,0.000122011,0.000122011
66,25037.9,1.01373,0.89074,0.95699,0.81089,0.89109,0.90593,0.67034,0.93241,0.60572,0.9578,0.000118714,0.000118714,0.000118714
67,25371.7,0.99972,0.87288,0.95886,0.82749,0.88844,0.91225,0.67621,0.93558,0.60024,0.95604,0.000115418,0.000115418,0.000115418
68,25721.6,0.99864,0.88141,0.95449,0.81737,0.89634,0.91035,0.67289,0.93287,0.59752,0.96074,0.000112121,0.000112121,0.000112121
69,26055.8,0.99316,0.87907,0.95548,0.86293,0.86617,0.9127,0.67779,0.92977,0.60068,0.95606,0.000108824,0.000108824,0.000108824
