epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.862,2.38797,4.80387,1.60832,0.01991,0.30696,0.03078,0.01534,1.75544,3.957,1.13793,0.000110126,0.000110126,0.000110126
2,430.436,1.84091,3.92693,1.15252,0.47801,0.08384,0.06607,0.03844,1.50749,3.37927,1.0787,0.000177343,0.000177343,0.000177343
3,594.231,1.74916,3.4156,1.11122,0.3851,0.17974,0.11872,0.07033,1.43253,2.79153,1.03433,0.000200604,0.000200604,0.000200604
4,742.071,1.67779,3.08534,1.09626,0.53313,0.20407,0.17077,0.10958,1.37965,2.47885,1.03265,0.000135198,0.000135198,0.000135198
5,920.593,1.63035,2.88846,1.0852,0.60308,0.21231,0.21118,0.13658,1.34542,2.28994,1.0291,6.9264e-05,6.9264e-05,6.9264e-05
